genus,author,year,extinct,,
Aix galericulata,Linnaeus,1758,,,
Aix sponsa,Linnaeus,1758,,,
Alopochen aegyptiaca,Linnaeus,1766,,,
Alopochen kervazoi,Cowles,1994,extinct,,
Alopochen mauritiana,E. Newton & Gadow,1893,extinct,,
Amazonetta brasiliensis,J. F. Gmelin,1789,,,
Anas acuta,Linnaeus,1758,,,
Anas albogularis,Hume,1873,,,
Anas andium,P. L. Sclater & Salvin,1873,,,
Anas aucklandica,G. R. Gray,1844,,,
Anas bahamensis,Linnaeus,1758,,,
Anas bernieri,Hartlaub,1860,,,
Anas capensis,J. F. Gmelin,1789,,,
Anas carolinensis,J. F. Gmelin,1789,,,
Anas castanea,Eyton,1838,,,
Anas chlorotis,G. R. Gray,1845,,,
Anas crecca,Linnaeus,1758,,,
Anas diazi,Ridgway,1886,,,
Anas eatoni,Sharpe,1875,,,
Anas erythrorhyncha,J. F. Gmelin,1789,,,
Anas flavirostris,Vieillot,1816,,,
Anas fulvigula,Ridgway,1874,,,
Anas georgica,J. F. Gmelin,1789,,,
Anas gibberifrons,S. Müller,1842,,,
Anas gracilis,Buller,1869,,,
Anas laysanensis,Rothschild,1892,,,
Anas luzonica,Fraser,1839,,,
Anas melleri,P. L. Sclater,1865,,,
Anas nesiotis,J.,H. Fleming,1935,,
Anas platyrhynchos,Linnaeus,1758,,,
Anas poecilorhyncha,J. R. Forster,1781,,,
Anas rubripes,Brewster,1902,,,
Anas sparsa,Eyton,1838,,,
Anas superciliosa,J. F. Gmelin,1789,,,
Anas theodori,E. Newton & Gadow,1893,extinct,,
Anas undulata,C. F. Dubois,1838,,,
Anas wyvilliana,P. L. Sclater,1878,,,
Anas zonorhyncha,Swinhoe,1866,,,
Anser albifrons,Scopoli,1769,,,
Anser anser,Linnaeus,1758,,,
Anser brachyrhynchus,Baillon,1834,,,
Anser caerulescens,Linnaeus,1758,,,
Anser canagicus,Sevastianov,1802,,,
Anser cygnoides,Linnaeus,1758,,,
Anser erythropus,Linnaeus,1758,,,
Anser fabalis,Latham,1787,,,
Anser indicus,Latham,1790,,,
Anser rossii,Cassin,1861,,,
Anser serrirostris,Gould,1852,,,
Asarcornis scutulata,S. Müller,1842,,,
Aythya affinis,Eyton,1838,,,
Aythya americana,Eyton,1838,,,
Aythya australis,Eyton,1838,,,
Aythya baeri,Radde,1863,,,
Aythya collaris,Donovan,1809,,,
Aythya ferina,Linnaeus,1758,,,
Aythya fuligula,Linnaeus,1758,,,
Aythya innotata,Salvadori,1894,,,
Aythya marila,Linnaeus,1761,,,
Aythya novaeseelandiae,J. F. Gmelin,1789,,,
Aythya nyroca,Güldenstädt,1770,,,
Aythya valisineria,A. Wilson,1814,,,
Biziura lobata,Shaw,1796,,,
Branta bernicla,Linnaeus,1758,,,
Branta canadensis,Linnaeus,1758,,,
Branta hutchinsii,Richardson,1832,,,
Branta leucopsis,Bechstein,1803,,,
Branta ruficollis,Pallas,1769,,,
Branta sandvicensis,Vigors,1834,,,
Bucephala albeola,Linnaeus,1758,,,
Bucephala clangula,Linnaeus,1758,,,
Bucephala islandica,J. F. Gmelin,1789,,,
Cairina moschata,Linnaeus,1758,,,
Callonetta leucophrys,Vieillot,1816,,,
Camptorhynchus labradorius,J. F. Gmelin,1789,extinct,,
Cereopsis novaehollandiae,Latham,1801,,,
Chenonetta finschi,Van Beneden,1875,extinct,,
Chenonetta jubata,Latham,1801,,,
Chloephaga hybrida,Molina,1782,,,
Chloephaga melanoptera,Eyton,1838,,,
Chloephaga picta,J. F. Gmelin,1789,,,
Chloephaga poliocephala,P. L. Sclater,1857,,,
Chloephaga rubidiceps,P. L. Sclater,1861,,,
Clangula hyemalis,Linnaeus,1758,,,
Coscoroba coscoroba,Molina,1782,,,
Cyanochen cyanoptera,Rüppell,1845,,,
Cygnus atratus,Latham,1790,,,
Cygnus buccinator,Richardson,1831,,,
Cygnus columbianus,Ord,1815,,,
Cygnus cygnus,Linnaeus,1758,,,
Cygnus melancoryphus,Molina,1782,,,
Cygnus olor,J. F. Gmelin,1789,,,
Dendrocygna arborea,Linnaeus,1758,,,
Dendrocygna arcuata,Horsfield,1824,,,
Dendrocygna autumnalis,Linnaeus,1758,,,
Dendrocygna bicolor,Vieillot,1816,,,
Dendrocygna,eytoni,Eyton,1838,,
Dendrocygna guttata,Schlegel,1866,,,
Dendrocygna javanica,Horsfield,1821,,,
Dendrocygna viduata,Linnaeus,1766,,,
Heteronetta atricapilla,Merrem,1841,,,
Histrionicus histrionicus,Linnaeus,1758,,,
Hymenolaimus malacorhynchos,J. F. Gmelin,1789,,,
Lophodytes cucullatus,Linnaeus,1758,,,
Lophonetta specularioides,P. P. King,1828,,,
Malacorhynchus membranaceus,Latham,1801,,,
Mareca americana,J. F. Gmelin,1789,,,
Mareca falcata,Georgi,1775,,,
Mareca marecula,Olson & Jouventin,1996,extinct,,
Mareca penelope,Linnaeus,1758,,,
Mareca sibilatrix,Poeppig,1829,,,
Mareca strepera,Linnaeus,1758,,,
Marmaronetta angustirostris,Ménétries,1832,,,
Melanitta americana,Swainson,1832,,,
Melanitta deglandi,Bonaparte,1850,,,
Melanitta fusca,Linnaeus,1758,,,
Melanitta nigra,Linnaeus,1758,,,
Melanitta perspicillata,Linnaeus,1758,,,
Melanitta stejnegeri,Ridgway,1887,,,
Merganetta armata,Gould,1842,,,
Mergellus albellus,Linnaeus,1758,,,
Mergus australis,Hombron & Jacquinot,1841,extinct,,
Mergus merganser,Linnaeus,1758,,,
Mergus octosetaceus,Vieillot,1817,,,
Mergus serrator,Linnaeus,1758,,,
Mergus squamatus,Gould,1864,,,
Neochen jubata,Spix,1825,,,
Netta erythrophthalma,Wied-Neuwied,1833,,,
Netta peposaca,Vieillot,1816,,,
Netta rufina,Pallas,1773,,,
Nettapus auritus,Boddaert,1783,,,
Nettapus coromandelianus,J. F. Gmelin,1789,,,
Nettapus pulchellus,Gould,1842,,,
Nomonyx dominicus,Linnaeus,1766,,,
Oxyura australis,Gould,1837,,,
Oxyura ferruginea,Eyton,1838,,,
Oxyura jamaicensis,J. F. Gmelin,1789,,,
Oxyura leucocephala,Scopoli,1769,,,
Oxyura maccoa,Eyton,1838,,,
Oxyura vittata,Philippi,1860,,,
Plectropterus gambensis,Linnaeus,1766,,,
Polysticta stelleri,Pallas,1769,,,
Pteronetta hartlaubii,Cassin,1860,,,
Radjah radjah,Garnot & R. Lesson,1828,,,
Rhodonessa caryophyllacea,Latham,1790,extinct,,
Salvadorina waigiuensis,Rothschild & E. Hartert,1894,,,
Sarkidiornis melanotos,Pennant,1769,,,
Sarkidiornis sylvicola,H. Ihering & R. Ihering,1907,,,
Sibirionetta formosa,Georgi,1775,,,
Somateria fischeri,J. F. Brandt,1847,,,
Somateria mollissima,Linnaeus,1758,,,
Somateria spectabilis,Linnaeus,1758,,,
Spatula clypeata,Linnaeus,1758,,,
Spatula cyanoptera,Vieillot,1816,,,
Spatula discors,Linnaeus,1766,,,
Spatula hottentota,Eyton,1838,,,
Spatula platalea,Vieillot,1816,,,
Spatula puna,Tschudi,1844,,,
Spatula querquedula,Linnaeus,1758,,,
Spatula rhynchotis,Latham,1801,,,
Spatula smithii,E. Hartert,1891,,,
Spatula versicolor,Vieillot,1816,,,
Speculanas specularis,P. P. King,1828,,,
Stictonetta naevosa,Gould,1841,,,
Tachyeres brachypterus,Latham,1790,,,
Tachyeres leucocephalus,Humphrey & Thompson,1981,,,
Tachyeres patachonicus,P. P. King,1831,,,
Tachyeres pteneres,J. R. Forster,1844,,,
Tadorna cana,J. F. Gmelin,1789,,,
Tadorna cristata,Kuroda,1917,extinct,,
Tadorna ferruginea,Pallas,1764,,,
Tadorna tadorna,Linnaeus,1758,,,
Tadorna tadornoides,Jardine & Selby,1828,,,
Tadorna variegata,J. F. Gmelin,1789,,,
Thalassornis leuconotus,Eyton,1838,,,